ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398
4	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282803	45282938
27	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32514813	32515389
81	"ENSG00000100150"	"DEPDC5"	chr22	+	31838684	31838845	31838684	31838721	31843094	31843212
89	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29825621	29825780
92	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
95	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
106	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23659864	23660000
108	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23683724	23683867
109	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23690235	23690356
121	"ENSG00000183628"	"DGCR6"	chr22	+	18906564	18907086	18906564	18906725	18910178	18910272
126	"ENSG00000099326"	"MZF1"	chr19	-	58570343	58571429	58570993	58571429	58569515	58569586
128	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58237248	58237334
139	"ENSG00000160469"	"BRSK1"	chr19	+	55287213	55287303	55287213	55287299	55289479	55289620
148	"ENSG00000186818"	"LILRB4"	chr19	+	54666398	54666456	54666398	54666436	54666693	54667390
152	"ENSG00000167613"	"LAIR1"	chr19	-	54359842	54360072	54360021	54360072	54358005	54358625
156	"ENSG00000105618"	"PRPF31"	chr19	+	54128072	54128377	54128072	54128200	54129056	54129370
158	"ENSG00000160336"	"ZNF761"	chr19	+	53445000	53445219	53445000	53445123	53447195	53447283
173	"ENSG00000126460"	"PRRG2"	chr19	+	49583206	49583717	49583206	49583304	49583912	49583952
179	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49490474	49490576
181	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490474	49490576
183	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490576	49489849	49489922	49490778	49490864
185	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49491266	49489849	49490864	49491424	49491547
186	"ENSG00000142541"	"RPL13A"	chr19	+	49490778	49491099	49490778	49490864	49491424	49491547
215	"ENSG00000159917"	"ZNF235"	chr19	-	44298807	44298903	44298819	44298903	44234754	44234869
217	"ENSG00000167637"	"ZNF283"	chr19	+	43837052	43837179	43837052	43837132	43846938	43852017
236	"ENSG00000268027"	"AC243960.1"	chr19	+	41551179	41551494	41551179	41551302	41553705	41553746
244	"ENSG00000188493"	"C19orf54"	chr19	-	40742398	40742770	40742514	40742770	40740855	40741439
245	"ENSG00000188493"	"C19orf54"	chr19	-	40742514	40742770	40742576	40742770	40742072	40742189
249	"ENSG00000090013"	"BLVRB"	chr19	-	40458173	40458545	40458380	40458545	40451363	40451492
252	"ENSG00000105193"	"RPS16"	chr19	-	39433521	39433761	39433664	39433761	39433206	39433418
253	"ENSG00000105193"	"RPS16"	chr19	-	39433664	39435708	39435606	39435708	39433521	39433569
258	"ENSG00000187994"	"RINL"	chr19	-	38876330	38876781	38876692	38876781	38873885	38873988
