ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	0	12	5	13	372	149	0.00733796199034	0.022935430725455026	0.0	0.133	-0.133
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	2	97	0	362	1	2403	149	0.279779804641	0.42868056656187015	1.0	0.957	0.043
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	306	0	76	1	620	149	0.26014439383	0.4067559433699676	1.0	0.948	0.052
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	0	4	12	54	817	149	0.0663376501494	0.14011052455135287	0.0	0.039	-0.039
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	15	0	3	5	59	1730	149	1	1.0	0.0	0.007	-0.007
16	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	16	7	129	2	14	469	149	0.742488584171	0.8557195676188412	0.017	0.043	-0.026
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	4	1	3	2	273	149	0.394642564818	0.550073354035464	0.686	0.45	0.236
23	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	23	15	531	9	169	262	149	0.233221240552	0.3787398097828226	0.016	0.029	-0.013
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	95	48	21	15	1121	149	0.323438642606	0.4776686721845354	0.208	0.157	0.051
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	30	15	8	15	363	149	0.0101985420345	0.03004687206509543	0.451	0.18	0.271
