ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42653778	42653883	42733355	42733426	3	1	4	0	4	193	204	0.910044784585	0.9655875722956078	0.209	0.0	0.209
5	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42732069	42732124	42698967	42699011	42733355	42733426	5	0	6	2	9	298	204	0.0821559782188	0.179629105950148	0.0	0.132	-0.132
8	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	8	27	12	3	6	203	222	0.0418246433287	0.10539651089770313	0.711	0.354	0.357
9	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170	9	6	7	3	2	298	295	0.518911609476	0.6722118213627449	0.459	0.598	-0.139
10	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170	10	6	7	2	2	271	295	0.862958882987	0.933375764503687	0.483	0.521	-0.038
12	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292	12	39	10	20	0	245	294	0.000889074708256	0.004463895931035334	0.824	1.0	-0.176
14	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146	14	19	5	33	9	298	217	0.93550181056	0.984523739497642	0.735	0.728	0.007
15	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375	15	435	1993	926	526	246	219	0	0.0	0.163	0.61	-0.447
16	"ENSG00000156299"	"TIAM1"	chr21	-	31195223	31195305	31202907	31203012	31187000	31187087	31210044	31210215	16	5	48	14	7	254	231	7.89523524114e-07	9.601040653331255e-06	0.087	0.645	-0.558
18	"ENSG00000154727"	"GABPA"	chr21	+	25745209	25745354	25749035	25749120	25741572	25741675	25751988	25752234	18	119	98	10	15	294	234	0.158991883392	0.29999109101223626	0.491	0.347	0.144
