ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
17	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445930	39446098
24	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820
59	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
60	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822
72	"ENSG00000100242"	"SUN2"	chr22	-	38739341	38739426	38739341	38739423	38739721	38739943
79	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37609065	37609356
119	"ENSG00000100031"	"GGT1"	chr22	+	24609961	24610033	24609964	24610033	24603183	24603335
120	"ENSG00000100031"	"GGT1"	chr22	+	24610357	24610531	24610454	24610531	24603216	24603321
122	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24607953	24608023
164	"ENSG00000100033"	"PRODH"	chr22	-	18921341	18922404	18921341	18921423	18922816	18922933
231	"ENSG00000213793"	"ZNF888"	chr19	-	52917858	52917997	52917858	52917931	52918818	52918937
279	"ENSG00000197813"	"AC011450.1"	chr19	-	49332053	49332320	49332053	49332296	49340171	49340303
398	"ENSG00000161249"	"DMKN"	chr19	-	35505938	35506049	35505938	35505986	35509910	35509961
480	"ENSG00000186204"	"CYP4F12"	chr19	+	15680243	15680297	15680277	15680297	15678260	15678405
481	"ENSG00000186204"	"CYP4F12"	chr19	+	15696160	15696512	15696429	15696512	15685067	15685197
491	"ENSG00000104957"	"CCDC130"	chr19	+	13759099	13759272	13759110	13759272	13758867	13759010
498	"ENSG00000105607"	"GCDH"	chr19	+	12897302	12897863	12897702	12897863	12896909	12897013
641	"ENSG00000129946"	"SHC2"	chr19	-	422145	422456	422145	422379	430683	430747
737	"ENSG00000101347"	"SAMHD1"	chr20	-	36911217	36912552	36911217	36911333	36916721	36916830
751	"ENSG00000078747"	"ITCH"	chr20	+	34393769	34393881	34393790	34393881	34392736	34392914
753	"ENSG00000078747"	"ITCH"	chr20	+	34479629	34479789	34479694	34479789	34477771	34477906
755	"ENSG00000078699"	"CBFA2T2"	chr20	+	33640340	33640531	33640343	33640531	33636639	33636708
818	"ENSG00000089057"	"SLC23A2"	chr20	-	4970792	4970919	4970792	4970915	5001405	5001510
854	"ENSG00000267040"	"AC027097.1"	chr18	+	57641558	57642052	57641913	57642052	57630349	57630518
878	"ENSG00000078043"	"PIAS2"	chr18	-	46903526	46903635	46903526	46903633	46906226	46906315
923	"ENSG00000101639"	"CEP192"	chr18	+	13038369	13038579	13038514	13038579	13037236	13037301
924	"ENSG00000101639"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698
926	"ENSG00000101639"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13114129	13114251
927	"ENSG00000175354"	"PTPN2"	chr18	-	12817155	12817365	12817155	12817265	12821335	12821425
959	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036448	82036190	82036308	82036543	82036643
1072	"ENSG00000196704"	"AMZ2"	chr17	+	68248639	68248705	68248643	68248705	68248101	68248157
1091	"ENSG00000062716"	"VMP1"	chr17	+	59838294	59838397	59838311	59838397	59837854	59838212
1162	"ENSG00000186566"	"GPATCH8"	chr17	-	44467096	44467202	44467096	44467114	44473724	44473759
