ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
203	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490576	49489849	49489922	49490474	49490576
209	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49491547	49489849	49490864	49491424	49491547
245	"ENSG00000188493"	"C19orf54"	chr19	-	40740855	40742770	40740855	40741439	40742514	40742770
284	"ENSG00000250799"	"PRODH2"	chr19	-	35806429	35807121	35806429	35806596	35807040	35807121
297	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547240	35546671	35546808	35547118	35547240
353	"ENSG00000105650"	"PDE4C"	chr19	-	18220402	18220923	18220402	18220708	18220873	18220923
387	"ENSG00000104957"	"CCDC130"	chr19	+	13758867	13759272	13758867	13759010	13759110	13759272
490	"ENSG00000064932"	"SBNO2"	chr19	-	1109134	1109598	1109134	1109211	1109505	1109598
592	"ENSG00000088340"	"FER1L4"	chr20	-	35559340	35560638	35559340	35559627	35560539	35560638
664	"ENSG00000105426"	"PTPRS"	chr19	-	5218419	5219467	5218419	5218532	5219309	5219467
694	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036643	82036190	82036308	82036543	82036643
726	"ENSG00000214087"	"ARL16"	chr17	-	81682033	81683594	81682033	81682675	81683535	81683594
890	"ENSG00000131469"	"RPL27"	chr17	+	42998418	43000102	42998418	42998471	42999932	43000102
936	"ENSG00000278053"	"DDX52"	chr17	-	37619767	37621277	37619767	37619839	37621126	37621277
1228	"ENSG00000187193"	"MT1X"	chr16	+	56682469	56684196	56682469	56682568	56683957	56684196
1283	"ENSG00000168488"	"ATXN2L"	chr16	+	28835932	28837237	28835932	28836176	28836747	28837237
1320	"ENSG00000179583"	"CIITA"	chr16	+	10906498	10909187	10906498	10908149	10908982	10909187
1408	"ENSG00000140983"	"RHOT2"	chr16	+	668487	668699	668487	668569	668658	668699
1417	"ENSG00000140983"	"RHOT2"	chr16	+	672253	672825	672253	672384	672702	672825
1439	"ENSG00000214078"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
1442	"ENSG00000007384"	"RHBDF1"	chr16	-	58973	59349	58973	59093	59248	59349
1574	"ENSG00000243708"	"PLA2G4B"	chr15	+	41841230	41841949	41841230	41841273	41841818	41841949
1707	"ENSG00000171858"	"RPS21"	chr20	+	62387610	62388520	62387610	62387674	62388456	62388520
1800	"ENSG00000100911"	"PSME2"	chr14	-	24144399	24145273	24144399	24144468	24145242	24145273
1803	"ENSG00000100911"	"PSME2"	chr14	-	24145378	24146240	24145378	24145465	24146207	24146240
1855	"ENSG00000105122"	"RASAL3"	chr19	-	15451623	15452815	15451623	15451938	15452657	15452815
1983	"ENSG00000204386"	"NEU1"	chr6	-	31860438	31862191	31860438	31860621	31861998	31862191
2113	"ENSG00000170144"	"HNRNPA3"	chr2	+	177215977	177216940	177215977	177216592	177216859	177216940
2431	"ENSG00000126522"	"ASL"	chr7	+	66086743	66087791	66086743	66086821	66087728	66087791
2573	"ENSG00000196209"	"SIRPB2"	chr20	-	1479699	1480065	1479699	1479794	1479993	1480065
2758	"ENSG00000151967"	"SCHIP1"	chr3	+	159886206	159888943	159886206	159886324	159888819	159888943
2783	"ENSG00000188313"	"PLSCR1"	chr3	-	146521543	146522053	146521543	146521701	146521832	146522053
2962	"ENSG00000247596"	"TWF2"	chr3	-	52229660	52230995	52229660	52229782	52230869	52230995
3081	"ENSG00000158864"	"NDUFS2"	chr1	+	161209482	161210710	161209482	161210188	161210590	161210710
3101	"ENSG00000184014"	"DENND5A"	chr11	-	9144096	9147151	9144096	9145113	9147029	9147151
3102	"ENSG00000240065"	"PSMB9"	chr6	+	32856137	32858134	32856137	32856205	32858004	32858134
3186	"ENSG00000092010"	"PSME1"	chr14	+	24136984	24137431	24136984	24137017	24137320	24137431
3214	"ENSG00000117054"	"ACADM"	chr1	+	75742167	75745914	75742167	75744391	75745805	75745914
3263	"ENSG00000142534"	"RPS11"	chr19	+	49497193	49498046	49497193	49497282	49497519	49498046
3367	"ENSG00000143303"	"RRNAD1"	chr1	+	156731990	156732473	156731990	156732115	156732365	156732473
3375	"ENSG00000090539"	"CHRD"	chr3	+	184386045	184386938	184386045	184386159	184386844	184386938
3493	"ENSG00000265241"	"RBM8A"	chr1	-	145926481	145927077	145926481	145926618	145927017	145927077
3596	"ENSG00000085998"	"POMGNT1"	chr1	-	46193304	46193925	46193304	46193388	46193854	46193925
3632	"ENSG00000082068"	"WDR70"	chr5	+	37721114	37725050	37721114	37721215	37724933	37725050
3691	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927815	49929416	49929504
3772	"ENSG00000143093"	"STRIP1"	chr1	+	110049111	110050409	110049111	110049238	110050342	110050409
3810	"ENSG00000188257"	"PLA2G2A"	chr1	-	19978014	19978879	19978014	19978121	19978733	19978879
3917	"ENSG00000222046"	"DCDC2B"	chr1	+	32211760	32212636	32211760	32211837	32212489	32212636
3941	"ENSG00000100316"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208
4036	"ENSG00000142910"	"TINAGL1"	chr1	+	31585439	31586755	31585439	31585485	31586709	31586755
4061	"ENSG00000112739"	"PRPF4B"	chr6	+	4060412	4062299	4060412	4060686	4061654	4062299
4252	"ENSG00000132424"	"PNISR"	chr6	-	99414571	99416428	99414571	99414686	99416348	99416428
4435	"ENSG00000136450"	"SRSF1"	chr17	-	58004922	58005973	58004922	58005041	58005800	58005973
4476	"ENSG00000169764"	"UGP2"	chr2	+	63885588	63885886	63885588	63885677	63885770	63885886
4503	"ENSG00000159588"	"CCDC17"	chr1	-	45622954	45623652	45622954	45623117	45623556	45623652
4665	"ENSG00000182473"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562
5274	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426505	178430694	178430889
5294	"ENSG00000204472"	"AIF1"	chr6	+	31615669	31616506	31615669	31615736	31616343	31616506
5297	"ENSG00000213145"	"CRIP1"	chr14	+	105486316	105488388	105486316	105487299	105488330	105488388
5333	"ENSG00000039650"	"PNKP"	chr19	-	49861448	49861881	49861448	49861510	49861771	49861881
5405	"ENSG00000204301"	"NOTCH4"	chr6	-	32201116	32203882	32201116	32201500	32203769	32203882
5477	"ENSG00000079785"	"DDX1"	chr2	+	15628444	15629697	15628444	15628517	15629601	15629697
5529	"ENSG00000144635"	"DYNC1LI1"	chr3	-	32530283	32533097	32530283	32530328	32532985	32533097
5675	"ENSG00000111011"	"RSRC2"	chr12	-	122518838	122521428	122518838	122519051	122521384	122521428
5882	"ENSG00000122566"	"HNRNPA2B1"	chr7	-	26189932	26192577	26189932	26190460	26192494	26192577
5907	"ENSG00000197958"	"RPL12"	chr9	-	127449609	127451405	127449609	127449708	127451049	127451405
5996	"ENSG00000223705"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415770	75416102	75416191
6007	"ENSG00000135218"	"CD36"	chr7	+	80672769	80674147	80672769	80672843	80673982	80674147
6037	"ENSG00000168090"	"COPS6"	chr7	+	100090591	100091152	100090591	100090654	100091037	100091152
6094	"ENSG00000145191"	"EIF2B5"	chr3	+	184143051	184144224	184143051	184143142	184144098	184144224
6196	"ENSG00000136155"	"SCEL"	chr13	+	77602064	77603135	77602064	77602124	77603075	77603135
6268	"ENSG00000234741"	"GAS5"	chr1	-	173864256	173865282	173864256	173864304	173865228	173865282
6335	"ENSG00000090520"	"DNAJB11"	chr3	+	186577667	186582077	186577667	186577800	186581994	186582077
6507	"ENSG00000197114"	"ZGPAT"	chr20	+	63733586	63734824	63733586	63733712	63734644	63734824
6844	"ENSG00000104518"	"GSDMD"	chr8	+	143559776	143561423	143559776	143559969	143561369	143561423
6858	"ENSG00000185803"	"SLC52A2"	chr8	+	144359622	144360493	144359622	144359726	144360114	144360493
6872	"ENSG00000160948"	"VPS28"	chr8	-	144424945	144426208	144424945	144425772	144426179	144426208
6927	"ENSG00000213930"	"GALT"	chr9	+	34647491	34647961	34647491	34647567	34647831	34647961
7220	"ENSG00000103510"	"KAT8"	chr16	+	31130455	31131393	31130455	31130606	31131194	31131393
7344	"ENSG00000132199"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
7464	"ENSG00000162032"	"SPSB3"	chr16	-	1777746	1778612	1777746	1777872	1778133	1778612
7567	"ENSG00000198258"	"UBL5"	chr19	+	9828326	9828675	9828326	9828389	9828591	9828675
7591	"ENSG00000090621"	"PABPC4"	chr1	-	39560815	39562203	39560815	39561122	39562072	39562203
7862	"ENSG00000123415"	"SMUG1"	chr12	-	54188514	54188957	54188514	54188596	54188676	54188957
7863	"ENSG00000161638"	"ITGA5"	chr12	-	54399644	54400995	54399644	54399758	54400845	54400995
8093	"ENSG00000148362"	"PAXX"	chr9	+	136992639	136993243	136992639	136992700	136993052	136993243
