ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	25	60	73	101	298	149	0.0679491775479	0.11428634860574471	0.172	0.265	-0.093
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	2	399	86	197	29	298	149	0.141786388246	0.21554248343214646	0.699	0.773	-0.074
13	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	13	7	141	26	359	298	149	0.311905396879	0.41668684900346403	0.024	0.035	-0.011
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	89	169	127	238	298	149	0.944046541267	1.0	0.208	0.211	-0.003
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	15	19	197	51	326	298	149	0.101782531841	0.16210689901019856	0.046	0.073	-0.027
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	17	20	20	28	273	149	0.709579265378	0.808192588925404	0.317	0.28	0.037
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	29	158	27	274	298	149	0.0537523608144	0.09372090569787465	0.084	0.047	0.037
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	65	62	79	161	298	149	0.00424070354977	0.010964613019836053	0.344	0.197	0.147
37	"ENSG00000275464"	"FP565260.1"	chr21	-	5139697	5141103	5139697	5139878	5140952	5141103	37	1	29	0	48	298	149	0.511491006207	0.6249956036561519	0.017	0.0	0.017
40	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	40	124	44	616	86	298	149	0.000300872874281	0.0011692714851760297	0.585	0.782	-0.197
41	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	41	18	253	7	272	217	149	0.0203458066868	0.04115793996247404	0.047	0.017	0.03
42	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447609	50447321	50447453	50447521	50447609	42	11	313	23	191	217	149	0.0014523094085	0.004458298820011748	0.024	0.076	-0.052
45	"ENSG00000205593"	"DENND6B"	chr22	-	50313813	50314272	50313813	50313878	50314206	50314272	45	14	5	23	67	298	149	0.000162955884299	0.0006920172447955621	0.583	0.146	0.437
46	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	46	50	215	114	126	220	149	1.95850720086e-08	2.6283048296737524e-07	0.136	0.38	-0.244
47	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791	47	23	98	127	97	298	149	1.51221923872e-09	2.665586451743746e-08	0.105	0.396	-0.291
48	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220191	50221874	48	234	0	379	9	298	149	0.00949994630758	0.021431570085459806	1.0	0.955	0.045
49	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220250	50221874	49	216	2	391	7	298	149	0.267398428143	0.3664868305495853	0.982	0.965	0.017
50	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50221274	50221874	50	239	0	399	11	298	149	0.00294919543528	0.00810162407143708	1.0	0.948	0.052
51	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50197822	50197995	50198074	50198186	51	109	333	270	365	228	149	2.75435909519e-05	0.00014687710805322905	0.176	0.326	-0.15
54	"ENSG00000231711"	"LINC00899"	chr22	-	46042573	46043699	46042573	46042640	46043562	46043699	54	0	11	33	0	298	149	7.88258347484e-15	4.796498054142367e-13	0.0	1.0	-1.0
56	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584280	41584372	56	233	320	116	220	298	149	0.105094654963	0.1670234194438805	0.267	0.209	0.058
58	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	58	11	64	28	43	298	149	0.00105500875598	0.0033788124385107205	0.079	0.246	-0.167
62	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	62	126	178	175	279	298	149	0.566817929385	0.6781053709475275	0.261	0.239	0.022
63	"ENSG00000100242"	"SUN2"	chr22	-	38750897	38751373	38750897	38751035	38751209	38751373	63	4	98	10	300	298	149	0.805321190228	0.8909680515548632	0.02	0.016	0.004
64	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	64	246	73	1304	340	298	149	0.539443525449	0.6513205055842506	0.628	0.657	-0.029
65	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38086241	38087264	38086241	38086449	38087123	38087264	65	0	18	22	0	298	149	7.77156117238e-16	5.567947536727735e-14	0.0	1.0	-1.0
