ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
7	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	7	14	8	22,11	9,16	203	222	0.574917695653	0.8464977657043037	0.657	0.728,0.429	0.079
8	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170	8	0	11	2,2	10,0	298	295	0.0027049937424	0.029837571999725716	0.0	0.165,1.0	-0.583
9	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170	9	0	11	2,0	10,0	271	295	1	1.0	0.0	0.179,NA	-0.179
11	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292	11	22	7	9,4	2,0	245	294	0.041416848914	0.18315601598302453	0.79	0.844,1.0	-0.132
18	"ENSG00000215386"	"MIR99AHG"	chr21	+	16231055	16231115	16391613	16391685	16181590	16181687	16487489	16488346	18	3	20	4,0	20,0	209	221	1	1.0	0.137	0.175,NA	-0.038
23	"ENSG00000215386"	"MIR99AHG"	chr21	+	16487489	16487538	16537378	16537439	16419398	16419741	16606993	16607087	23	15	9	6,0	2,2	198	210	0.424442115519	0.7235866661617514	0.639	0.761,0.0	0.259
24	"ENSG00000215386"	"MIR99AHG"	chr21	+	16521718	16521816	16535033	16535709	16487489	16487538	16537378	16537439	24	2	13	0,0	5,0	247	298	1	1.0	0.157	0.0,NA	0.157
26	"ENSG00000215386"	"MIR99AHG"	chr21	+	16537378	16537439	16589352	16589540	16487489	16487538	16594339	16594454	26	62	2	31,0	0,0	210	298	1	1.0	0.978	1.0,NA	-0.022
27	"ENSG00000215386"	"MIR99AHG"	chr21	+	16537378	16537439	16594339	16594454	16487489	16487538	16606993	16607087	27	54	22	23,2	2,0	210	264	0.000663370430618	0.01179228226006471	0.755	0.935,1.0	-0.213
28	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16589352	16589467	16537378	16537439	16594339	16594454	28	2	6	0,0	2,0	185	264	1	1.0	0.322	0.0,NA	0.322
29	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16589352	16589540	16537378	16537439	16594339	16594454	29	2	7	0,0	2,0	185	298	1	1.0	0.315	0.0,NA	0.315
30	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16589352	16589557	16537378	16537439	16594339	16594454	30	2	7	0,0	2,0	185	298	1	1.0	0.315	0.0,NA	0.315
31	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16594339	16594454	16537378	16537439	16606993	16607135	31	2	42	0,0	14,0	185	264	1	1.0	0.064	0.0,NA	0.064
33	"ENSG00000229425"	"AJ009632.2"	chr21	-	15393970	15394049	15394472	15394506	15390577	15390618	15394999	15395129	33	2	0	0,4	2,0	183	228	0.151290932501	0.41250060506327146	1.0	0.0,1.0	0.5
38	"ENSG00000100239"	"PPP6R2"	chr22	+	50388985	50389111	50391866	50392015	50372071	50372150	50393892	50394135	38	22	1	11,2	2,2	275	298	0.131980773166	0.38488618399800434	0.96	0.856,0.52	0.272
44	"ENSG00000100372"	"SLC25A17"	chr22	-	40792524	40792676	40794513	40794580	40779008	40779125	40799022	40799083	44	2	44	6,0	27,29	216	298	0.413604203599	0.714858986774596	0.059	0.235,0.0	-0.058
45	"ENSG00000100211"	"CBY1"	chr22	+	38656955	38657143	38665545	38665685	38656675	38656750	38668016	38668132	45	0	5	2,0	8,1	298	289	0.696310937917	0.9286437089100366	0.0	0.195,0.0	-0.098
47	"ENSG00000100129"	"EIF3L"	chr22	+	37855564	37855644	37858678	37858740	37851279	37851490	37862968	37863038	47	262	180	102,94	89,56	229	211	0.76925882973	0.9678948980300367	0.573	0.514,0.607	0.012
55	"ENSG00000133424"	"LARGE1"	chr22	-	33283201	33283348	33304228	33304507	33277059	33277255	33316084	33316248	55	0	4	0,2	0,2	298	296	1	1.0	0.0	NA,0.498	-0.498
56	"ENSG00000133424"	"LARGE1"	chr22	-	33304228	33304507	33316084	33316248	33283201	33283348	33337645	33337801	56	0	12	0,2	2,0	298	298	0.115847046698	0.35335963915249374	0.0	0.0,1.0	-0.5
57	"ENSG00000133424"	"LARGE1"	chr22	-	33316084	33316248	33337645	33337801	33304228	33304507	33381918	33382044	57	10	0	2,11	0,2	298	298	0.592430581023	0.853276881622679	1.0	1.0,0.846	0.077
58	"ENSG00000133424"	"LARGE1"	chr22	-	33337645	33337801	33381918	33382044	33316084	33316248	33384191	33384304	58	22	0	4,9	0,2	275	298	0.69713225869	0.9292803961422693	1.0	1.0,0.83	0.085
59	"ENSG00000133424"	"LARGE1"	chr22	-	33650366	33650668	33761370	33761558	33626243	33626326	33856739	33856802	59	1	2	6,4	0,0	298	298	0.00133854906597	0.018375099625910253	0.333	1.0,1.0	-0.667
65	"ENSG00000159873"	"CCDC117"	chr22	+	28773724	28773778	28780947	28781172	28772673	28773034	28783507	28783645	65	1	125	0,0	58,31	203	298	1	1.0	0.012	0.0,0.0	0.012
66	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724976	28725124	28719394	28719485	28725242	28725367	66	22	1	17,7	0,0	297	298	0.277827350389	0.5810290253491316	0.957	1.0,1.0	-0.043
67	"ENSG00000183765"	"CHEK2"	chr22	-	28724885	28724923	28724976	28725124	28711908	28712017	28725242	28725367	67	16	1	6,9	0,0	297	187	0.256063858992	0.5597705194287259	0.91	1.0,1.0	-0.09
68	"ENSG00000183765"	"CHEK2"	chr22	-	28724885	28724923	28724976	28725124	28719394	28719485	28725242	28725367	68	22	1	17,7	0,0	297	187	0.239284025114	0.5414942925966023	0.933	1.0,1.0	-0.067
72	"ENSG00000100077"	"GRK3"	chr22	+	25674436	25674528	25678815	25678915	25672295	25672347	25685169	25685248	72	18	14	49,8	27,10	241	249	0.829243001526	0.9952334028779265	0.571	0.652,0.453	0.018
74	"ENSG00000228315"	"GUSBP11"	chr22	-	23695172	23695517	23700725	23700845	23683724	23683867	23705428	23705541	74	4	1	1,4	1,2	269	298	0.52308447472	0.8016870395311628	0.816	0.526,0.689	0.209
78	"ENSG00000012817"	"KDM5D"	chrY	-	19739527	19739662	19741317	19741488	19735620	19735750	19741734	19741857	78	18	22	28,17	40,20	298	284	0.832002675856	0.9952334028779265	0.438	0.4,0.448	0.014
79	"ENSG00000012817"	"KDM5D"	chrY	-	19741317	19741488	19741734	19741857	19739527	19739662	19743161	19743239	79	32	27	26,32	25,18	272	298	0.704906803615	0.9332148072456687	0.565	0.533,0.661	-0.032
80	"ENSG00000183878"	"UTY"	chrY	-	13358463	13358553	13359087	13359222	13357876	13357969	13359766	13359986	80	18	13	20,13	9,3	284	239	0.145762942101	0.4051969851408457	0.538	0.652,0.785	-0.18
81	"ENSG00000183878"	"UTY"	chrY	-	13358463	13358619	13359087	13359222	13357876	13357969	13359766	13359986	81	18	11	20,13	10,1	284	298	0.17906306223	0.4560116815697078	0.632	0.677,0.932	-0.172
82	"ENSG00000183878"	"UTY"	chrY	-	13360429	13360528	13393858	13393893	13359766	13359986	13396917	13396972	82	18	34	6,4	15,15	184	248	0.27518494289	0.5790365059436918	0.416	0.35,0.264	0.109
83	"ENSG00000114374"	"USP9Y"	chrY	+	12664639	12664686	12686512	12686606	12662367	12662706	12702009	12702055	83	5	12	3,1	15,5	196	243	0.271638785599	0.5752100303201395	0.341	0.199,0.199	0.142
97	"ENSG00000105483"	"CARD8"	chr19	-	48242539	48242644	48249522	48249633	48240961	48241063	48249750	48249847	97	24	4	23,30	4,3	260	254	0.73291687723	0.951530987727588	0.854	0.849,0.907	-0.024
98	"ENSG00000105398"	"SULT2A1"	chr19	-	47874656	47874834	47879035	47879130	47870466	47871567	47882083	47882210	98	3479	6426	0,4	5,12	244	298	0.0493141726381	0.20198267812497728	0.398	0.0,0.289	0.254
99	"ENSG00000105398"	"SULT2A1"	chr19	-	47879035	47879130	47882083	47882210	47874656	47874834	47883576	47883785	99	4088	4382	0,3	0,7	276	244	1	1.0	0.452	NA,0.275	0.177
100	"ENSG00000105398"	"SULT2A1"	chr19	-	47882083	47882210	47883576	47883785	47879035	47879130	47886121	47886315	100	4717	5404	2,24	0,11	298	276	0.0361010497357	0.16993908778024633	0.447	1.0,0.669	-0.388
101	"ENSG00000142230"	"SAE1"	chr19	+	47156568	47156661	47156986	47157181	47155113	47155213	47169817	47169923	101	2	0	0,2	1,0	242	298	1	1.0	1.0	0.0,1.0	0.5
104	"ENSG00000012061"	"ERCC1"	chr19	-	45413962	45414034	45414860	45414960	45413676	45413745	45416820	45416897	104	5	4	0,6	12,15	249	221	0.0211826137954	0.11874568978251202	0.526	0.0,0.262	0.395
106	"ENSG00000079385"	"CEACAM1"	chr19	-	42515010	42515103	42516772	42516865	42512349	42512479	42521266	42521521	106	4	1	2,0	0,0	242	242	1	1.0	0.8	1.0,NA	-0.2
107	"ENSG00000079385"	"CEACAM1"	chr19	-	42515010	42515103	42518947	42519235	42512349	42512479	42521266	42521521	107	38	1	7,12	0,0	298	242	0.321167396644	0.6301773799046821	0.969	1.0,1.0	-0.031
108	"ENSG00000079385"	"CEACAM1"	chr19	-	42516772	42516865	42518947	42519235	42512349	42512479	42521266	42521521	108	38	4	7,12	2,0	298	242	0.176640814823	0.4528306277530797	0.885	0.74,1.0	0.015
116	"ENSG00000267107"	"PCAT19"	chr19	-	41456615	41456918	41474465	41474539	41456360	41456487	41479080	41479284	116	1	0	0,0	0,2	223	298	1	1.0	1.0	NA,0.0	1.0
117	"ENSG00000267107"	"PCAT19"	chr19	-	41479080	41479284	41494539	41495427	41456360	41456487	41500583	41500644	117	7	14	4,7	7,6	298	298	0.404494031626	0.7087826676092425	0.333	0.364,0.538	-0.118
118	"ENSG00000267107"	"PCAT19"	chr19	-	41479080	41479284	41495301	41495427	41456360	41456487	41500583	41500644	118	7	14	4,7	7,6	275	298	0.392899253958	0.6998113277485274	0.351	0.382,0.558	-0.119
120	"ENSG00000105197"	"TIMM50"	chr19	+	39482884	39482916	39485543	39485602	39481882	39482033	39485687	39485807	120	4	6	3,0	6,0	181	208	1	1.0	0.434	0.365,NA	0.069
124	"ENSG00000245680"	"ZNF585B"	chr19	-	37195880	37196019	37198938	37199054	37190023	37190150	37207039	37207254	124	10	0	12,3	2,0	265	288	0.543706710585	0.8183207818808262	1.0	0.867,1.0	0.067
125	"ENSG00000198453"	"ZNF568"	chr19	+	36922585	36922846	36925199	36925258	36917578	36917648	36936745	36936872	125	2	3	9,2	7,4	298	208	0.646352467494	0.8941559961615039	0.318	0.473,0.259	-0.048
127	"ENSG00000239382"	"ALKBH6"	chr19	-	36011403	36011464	36013000	36013089	36010893	36011045	36013343	36013422	127	4	0	2,0	0,2	238	210	0.0997980135411	0.3202544330024373	1.0	1.0,0.0	0.5
135	"ENSG00000257103"	"LSM14A"	chr19	+	34208928	34209051	34215123	34215300	34196633	34196763	34215595	34215661	135	57	26	75,79	39,53	272	298	0.347804047082	0.6576109611879035	0.706	0.678,0.62	0.057
152	"ENSG00000127507"	"ADGRE2"	chr19	-	14752328	14752526	14756237	14756345	14751435	14751671	14764432	14764610	152	2	0	2,5	2,2	257	298	0.00470865266945	0.045543684594691006	1.0	0.537,0.744	0.359
