ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	2	0	4	0,2	2,2	180	149	0.512216228211	0.8983624752593761	0.0	0.0,0.453	-0.227
10	"ENSG00000184012"	"TMPRSS2"	chr21	-	41497935	41498189	41498118	41498189	41494355	41494578	10	5	19	2,0	0,0	298	149	1	1.0	0.116	1.0,NA	-0.884
13	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904954	38905423	38901900	38901965	13	8	2	90,122	237,234	298	149	0.00251363531633	0.02476464960734667	0.667	0.16,0.207	0.484
14	"ENSG00000205622"	"AP001042.1"	chr21	-	38904904	38905452	38904954	38905452	38901900	38901965	14	0	2	22,36	237,234	199	149	0.0348517869785	0.15002776309715707	0.0	0.065,0.103	-0.084
15	"ENSG00000157557"	"ETS2"	chr21	+	38819502	38819871	38819502	38819766	38821585	38821704	15	0	140	3,1	34,40	254	149	0.798918378429	1.0	0.0	0.049,0.014	-0.032
17	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33907340	33907453	33903934	33904021	17	7	403	8,2	192,264	298	149	0.883028590071	1.0	0.009	0.02,0.004	-0.003
19	"ENSG00000159131"	"GART"	chr21	-	33528514	33528604	33528518	33528604	33528166	33528335	19	5	84	0,1	36,26	153	149	0.0265978671049	0.12471052920708078	0.055	0.0,0.036	0.037
21	"ENSG00000159086"	"PAXBP1"	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218	21	43	7	36,27	7,2	166	149	0.702751993846	1.0	0.846	0.822,0.924	-0.027
22	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32503925	32504015	22	7	0	100,59	11,18	158	149	0.00747053038822	0.05324633068650765	1.0	0.896,0.756	0.174
23	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32503925	32504015	23	2	0	14,19	11,18	201	149	0.00263186282392	0.025294464425366876	1.0	0.485,0.439	0.538
24	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32503925	32504015	24	2	7	8,14	94,54	192	149	0.605121187204	0.962033983249473	0.181	0.062,0.167	0.066
57	"ENSG00000100413"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	57	2	8	1,0	6,5	204	149	0.055743331445	0.20482864382720206	0.154	0.109,0.0	0.1
60	"ENSG00000196588"	"MRTFA"	chr22	-	40416975	40417046	40416985	40417046	40410281	40411907	60	0	4	0,2	8,4	159	149	0.693094945094	1.0	0.0	0.0,0.319	-0.16
62	"ENSG00000100242"	"SUN2"	chr22	-	38740888	38741050	38741006	38741050	38740266	38740432	62	0	8	2,0	8,2	267	149	0.519758230248	0.904149452126742	0.0	0.122,0.0	-0.061
67	"ENSG00000100129"	"EIF3L"	chr22	+	37851279	37851561	37851279	37851490	37855564	37855644	67	2	418	3,2	163,115	220	149	1	1.0	0.003	0.012,0.012	-0.009
75	"ENSG00000100150"	"DEPDC5"	chr22	+	31784813	31785107	31784813	31784875	31792032	31792102	75	3	12	5,1	10,3	298	149	0.511425692179	0.8983624752593761	0.111	0.2,0.143	-0.06
76	"ENSG00000100150"	"DEPDC5"	chr22	+	31797599	31797703	31797599	31797699	31798581	31798656	76	10	0	9,3	4,0	153	149	0.0145666138594	0.08265923318178241	1.0	0.687,1.0	0.156
