ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
85	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29825621	29825780
88	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
91	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
112	"ENSG00000232855"	"AF165147.1"	chr21	-	28577218	28577380	28577274	28577380	28446289	28446472
118	"ENSG00000012817"	"KDM5D"	chrY	-	19715583	19715739	19715614	19715739	19710375	19710472
120	"ENSG00000183878"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13354785	13354833
197	"ENSG00000159917"	"ZNF235"	chr19	-	44298807	44298903	44298819	44298903	44234754	44234869
274	"ENSG00000187187"	"ZNF546"	chr19	+	39999600	39999854	39999600	39999670	40006095	40006182
397	"ENSG00000064601"	"CTSA"	chr20	+	45892724	45892887	45892724	45892880	45893039	45893145
406	"ENSG00000101052"	"IFT52"	chr20	+	43605001	43605216	43605001	43605073	43613849	43613976
439	"ENSG00000078747"	"ITCH"	chr20	+	34477771	34477906	34477771	34477860	34479694	34479789
530	"ENSG00000141447"	"OSBPL1A"	chr18	-	24368286	24368372	24368366	24368372	24341546	24341658
558	"ENSG00000154889"	"MPPE1"	chr18	-	11905737	11905953	11905911	11905953	11902266	11902358
575	"ENSG00000266835"	"GAPLINC"	chr18	+	3467126	3467296	3467126	3467270	3472842	3473203
659	"ENSG00000256525"	"POLG2"	chr17	-	64483963	64485868	64485727	64485868	64482918	64482999
714	"ENSG00000262879"	"AC005670.3"	chr17	-	47056455	47056753	47056459	47056753	47054117	47054213
724	"ENSG00000136448"	"NMT1"	chr17	+	45081643	45081995	45081643	45081752	45086507	45086652
774	"ENSG00000073605"	"GSDMB"	chr17	-	39906110	39906987	39906960	39906987	39905846	39905985
836	"ENSG00000236088"	"COX10-AS1"	chr17	-	14033939	14034416	14034007	14034416	13892724	13892839
882	"ENSG00000186594"	"MIR22HG"	chr17	-	1713702	1714014	1713855	1714014	1712250	1712646
884	"ENSG00000108953"	"YWHAE"	chr17	-	1361901	1362008	1361929	1362008	1361091	1361298
1007	"ENSG00000005194"	"CIAPIN1"	chr16	-	57439181	57439334	57439185	57439334	57436655	57436732
1028	"ENSG00000167207"	"NOD2"	chr16	+	50712193	50712401	50712193	50712373	50716586	50716670
1035	"ENSG00000121274"	"TENT4B"	chr16	+	50224890	50225011	50224890	50224994	50225238	50225285
1056	"ENSG00000160014"	"CALM3"	chr19	+	46608196	46608340	46608196	46608327	46608481	46608981
