ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019
24	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820
101	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29288605	29288755
170	"ENSG00000131002"	"TXLNGY"	chrY	+	19591779	19591959	19591919	19591959	19590752	19590772
172	"ENSG00000183878"	"UTY"	chrY	-	13358463	13358619	13358463	13358553	13359766	13359986
274	"ENSG00000197813"	"AC011450.1"	chr19	-	49332053	49332320	49332053	49332296	49340230	49340282
429	"ENSG00000105705"	"SUGP1"	chr19	-	19303347	19303448	19303347	19303406	19303723	19304043
517	"ENSG00000105397"	"TYK2"	chr19	-	10368294	10368418	10368294	10368371	10378213	10378508
685	"ENSG00000064601"	"CTSA"	chr20	+	45892978	45893145	45893039	45893145	45892724	45892880
743	"ENSG00000078747"	"ITCH"	chr20	+	34479629	34479789	34479694	34479789	34477771	34477906
745	"ENSG00000078699"	"CBFA2T2"	chr20	+	33640340	33640531	33640343	33640531	33636639	33636708
751	"ENSG00000171456"	"ASXL1"	chr20	+	32360709	32360806	32360793	32360806	32358965	32359851
809	"ENSG00000089057"	"SLC23A2"	chr20	-	4970792	4970919	4970792	4970915	5001405	5001510
832	"ENSG00000133313"	"CNDP2"	chr18	+	74499881	74500033	74499936	74500033	74499420	74499482
913	"ENSG00000101639"	"CEP192"	chr18	+	13038369	13038579	13038514	13038579	13037236	13037301
914	"ENSG00000101639"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698
916	"ENSG00000101639"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13114129	13114251
917	"ENSG00000175354"	"PTPN2"	chr18	-	12817155	12817365	12817155	12817265	12821335	12821425
933	"ENSG00000263724"	"DLGAP1-AS3"	chr18	+	3895770	3896003	3895826	3896003	3890017	3890932
1080	"ENSG00000062716"	"VMP1"	chr17	+	59838294	59838397	59838311	59838397	59837854	59838212
1160	"ENSG00000213297"	"ZNF625-ZNF20"	chr19	-	12142640	12142736	12142640	12142715	12145257	12146224
1161	"ENSG00000213297"	"ZNF625-ZNF20"	chr19	-	12142640	12142736	12142640	12142715	12147394	12147455
1193	"ENSG00000278540"	"ACACA"	chr17	-	37330172	37330425	37330172	37330335	37339803	37339850
1226	"ENSG00000172171"	"TEFM"	chr17	-	30898985	30900562	30898985	30899606	30904065	30904529
