ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
57	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
65	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584526	41584603
71	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930
103	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29292158	29292169
118	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24607953	24608023
119	"ENSG00000100031"	"GGT1"	chr22	+	24609961	24610033	24609964	24610033	24608989	24609231
174	"ENSG00000183878"	"UTY"	chrY	-	13358463	13358619	13358463	13358553	13359766	13359986
197	"ENSG00000063241"	"ISOC2"	chr19	-	55455259	55455378	55455259	55455330	55456348	55456489
208	"ENSG00000186818"	"LILRB4"	chr19	+	54663753	54664038	54663833	54664038	54662818	54663067
215	"ENSG00000167613"	"LAIR1"	chr19	-	54356229	54356398	54356229	54356267	54356490	54356619
220	"ENSG00000167613"	"LAIR1"	chr19	-	54364294	54364486	54364294	54364330	54365029	54365099
232	"ENSG00000213793"	"ZNF888"	chr19	-	52917858	52917997	52917858	52917931	52918818	52918937
247	"ENSG00000161677"	"JOSD2"	chr19	-	50510285	50510448	50510285	50510445	50511074	50511159
265	"ENSG00000142546"	"NOSIP"	chr19	-	49557089	49558978	49557089	49557249	49559933	49560039
267	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49490231	49490297	49487607	49487644
269	"ENSG00000142541"	"RPL13A"	chr19	+	49490231	49490576	49490474	49490576	49489849	49489922
354	"ENSG00000105193"	"RPS16"	chr19	-	39435606	39435708	39435606	39435705	39435847	39435949
378	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36325896	36324923	36325887	36330252	36330492
379	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36327170	36324923	36325887	36330252	36330492
380	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36327225	36324923	36325887	36330252	36330492
381	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36327275	36324923	36325887	36330252	36330492
388	"ENSG00000126247"	"CAPNS1"	chr19	+	36140996	36141220	36140999	36141220	36140126	36140265
395	"ENSG00000239382"	"ALKBH6"	chr19	-	36010566	36010683	36010566	36010645	36013020	36013089
404	"ENSG00000161265"	"U2AF1L4"	chr19	-	35742531	35743205	35742531	35742803	35743808	35743904
405	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743208	35743154	35743205	35743808	35743904
406	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743205	35743808	35743904
407	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743208	35743808	35743904
415	"ENSG00000266964"	"FXYD1"	chr19	+	35140021	35140140	35140075	35140140	35138840	35138894
416	"ENSG00000266964"	"FXYD1"	chr19	+	35139918	35140140	35140075	35140140	35139440	35139588
467	"ENSG00000105701"	"FKBP8"	chr19	-	18538215	18538436	18538215	18538433	18541678	18541995
472	"ENSG00000105650"	"PDE4C"	chr19	-	18220402	18220708	18220402	18220515	18220873	18220923
487	"ENSG00000131351"	"HAUS8"	chr19	-	17059996	17060092	17059996	17060089	17069030	17069086
499	"ENSG00000186204"	"CYP4F12"	chr19	+	15696160	15696512	15696429	15696512	15685067	15685197
509	"ENSG00000104957"	"CCDC130"	chr19	+	13759099	13759272	13759110	13759272	13758867	13759010
516	"ENSG00000105607"	"GCDH"	chr19	+	12897302	12897863	12897702	12897863	12896909	12897013
526	"ENSG00000105518"	"TMEM205"	chr19	-	11345519	11345737	11345519	11345628	11346333	11346406
560	"ENSG00000090661"	"CERS4"	chr19	+	8251043	8251249	8251075	8251249	8241340	8241457
629	"ENSG00000130332"	"LSM7"	chr19	-	2324124	2324196	2324124	2324192	2325979	2326139
634	"ENSG00000115268"	"RPS15"	chr19	+	1438806	1438892	1438810	1438892	1438418	1438580
663	"ENSG00000129946"	"SHC2"	chr19	-	422145	422456	422145	422379	425096	425231
664	"ENSG00000129946"	"SHC2"	chr19	-	422145	422456	422145	422379	430683	430747
669	"ENSG00000203896"	"LIME1"	chr20	+	63738007	63738499	63738182	63738499	63737820	63737902
670	"ENSG00000273154"	"AL121845.3"	chr20	+	63737820	63737902	63737844	63737902	63737532	63737647
674	"ENSG00000258366"	"RTEL1"	chr20	+	63689965	63690210	63690086	63690210	63689845	63689865
687	"ENSG00000101181"	"MTG2"	chr20	+	62200682	62203568	62203083	62203568	62199118	62199257
721	"ENSG00000064601"	"CTSA"	chr20	+	45892978	45893145	45893039	45893145	45892724	45892887
780	"ENSG00000078699"	"CBFA2T2"	chr20	+	33640340	33640531	33640343	33640531	33636639	33636708
786	"ENSG00000105576"	"TNPO2"	chr19	-	12723248	12723365	12723248	12723360	12723768	12724011
787	"ENSG00000105576"	"TNPO2"	chr19	-	12723248	12723365	12723248	12723360	12723772	12723932
