ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432
1	"ENSG00000160191"	"PDE9A"	chr21	+	42686191	42686262	42687916	42687994	42653778	42653883	42698967	42699011
2	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42698967	42699011	42653778	42653883	42733355	42733426
3	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42732069	42732124	42653778	42653883	42733355	42733426
4	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42653778	42653883	42733355	42733426
5	"ENSG00000160191"	"PDE9A"	chr21	+	42724555	42724634	42731769	42731949	42698967	42699011	42732069	42732124
6	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42732069	42732124	42698967	42699011	42733355	42733426
7	"ENSG00000183036"	"PCP4"	chr21	+	39916065	39916186	39926046	39926191	39898475	39898527	39928983	39929397
8	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745
9	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170
10	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170
11	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
12	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389
13	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32587312	32587477	32582199	32582415	32603160	32603292
14	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292
15	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32587312	32587477	32602271	32602367	32582199	32582415	32603160	32603292
16	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146
17	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375
18	"ENSG00000156273"	"BACH1"	chr21	+	29218860	29218926	29270356	29270456	29194146	29194260	29321220	29321355
