ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000183570"	"PCBP3"	chr21	+	45668873	45669032	45668873	45668952	45735391	45735429
4	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398
5	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282803	45282938
13	"ENSG00000184012"	"TMPRSS2"	chr21	-	41507949	41508158	41508080	41508158	41489506	41489593
20	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44321728	44321875
24	"ENSG00000159131"	"GART"	chr21	-	33528514	33528604	33528518	33528604	33524768	33525000
31	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32514813	32515389
32	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32514813	32515389
33	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32514813	32515389
71	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38741006	38741050	38739721	38739943
88	"ENSG00000100150"	"DEPDC5"	chr22	+	31838684	31838845	31838684	31838721	31843094	31843212
96	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29825621	29825780
97	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29827476	29827600
100	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288605	29288755	29291564	29291599
101	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288605	29288755	29292136	29292169
102	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288755	29292136	29292169
103	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
104	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299598	29299851
107	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
108	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28711908	28712017
114	"ENSG00000244625"	"MIATNB"	chr22	+	26726643	26726794	26726643	26726720	26738061	26738240
120	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23659864	23660000
122	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23683724	23683867
123	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23683724	23683867
124	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23690235	23690356
134	"ENSG00000232855"	"AF165147.1"	chr21	-	28577218	28577380	28577274	28577380	28446289	28446472
137	"ENSG00000183628"	"DGCR6"	chr22	+	18906564	18907086	18906564	18906725	18910178	18910272
141	"ENSG00000012817"	"KDM5D"	chrY	-	19715583	19715739	19715614	19715739	19710375	19710472
142	"ENSG00000183878"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13326220	13326350
144	"ENSG00000183878"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13354785	13354833
145	"ENSG00000099326"	"MZF1"	chr19	-	58570343	58571429	58570993	58571429	58569515	58569586
147	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58231771	58231820
148	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58237248	58237334
159	"ENSG00000160469"	"BRSK1"	chr19	+	55287213	55287303	55287213	55287299	55289479	55289620
168	"ENSG00000186818"	"LILRB4"	chr19	+	54666398	54666456	54666398	54666436	54666693	54667390
170	"ENSG00000167613"	"LAIR1"	chr19	-	54356229	54356398	54356355	54356398	54355953	54356006
172	"ENSG00000167613"	"LAIR1"	chr19	-	54360915	54361209	54361009	54361209	54356490	54356619
174	"ENSG00000167613"	"LAIR1"	chr19	-	54360915	54361209	54361009	54361209	54356927	54356966
175	"ENSG00000167613"	"LAIR1"	chr19	-	54359842	54360072	54360021	54360072	54358005	54358625
179	"ENSG00000105618"	"PRPF31"	chr19	+	54128072	54128377	54128072	54128200	54129056	54129370
181	"ENSG00000160336"	"ZNF761"	chr19	+	53445000	53445219	53445000	53445123	53447195	53447283
182	"ENSG00000196417"	"ZNF765"	chr19	+	53426489	53426595	53426489	53426584	53426864	53426888
185	"ENSG00000160193"	"WDR4"	chr21	-	42873550	42873691	42873602	42873691	42859661	42859722
198	"ENSG00000126453"	"BCL2L12"	chr19	+	49669023	49669164	49669023	49669115	49670215	49670488
199	"ENSG00000126460"	"PRRG2"	chr19	+	49583206	49583717	49583206	49583304	49583912	49583952
205	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49490474	49490576
207	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490474	49490576
