ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
187	"ENSG00000118705"	"RPN2"	chr20	+	37198396	37198492	37199049	37199225	37184179	37184373	37203884	37203960	187	4	8	0,2	4,2	245	325	0.144222630882	0.34252874834474994	0.399	0.0,0.57	0.114
259	"ENSG00000124155"	"PIGT"	chr20	+	45416516	45416694	45418851	45418979	45416140	45416343	45419294	45419395	259	2	0	2,0	2,2	327	277	9.11243374346e-06	8.656812056286999e-05	1.0	0.459,0.0	0.77
275	"ENSG00000185624"	"P4HB"	chr17	-	81846946	81847068	81847242	81847347	81846428	81846629	81855141	81855279	275	10	12	0,4	4,7	254	271	0.107439201995	0.3091791786291	0.471	0.0,0.379	0.281
415	"ENSG00000039068"	"CDH1"	chr16	+	68808692	68808848	68810196	68810341	68808423	68808567	68811683	68811859	415	2	4	0,4	0,0	305	294	1	1.0	0.325	NA,1.0	-0.675
471	"ENSG00000008517"	"IL32"	chr16	+	3067553	3067613	3067983	3068010	3067376	3067415	3068179	3068239	471	2	4	0,4	0,0	209	176	1	1.0	0.296	NA,1.0	-0.704
480	"ENSG00000142192"	"APP"	chr21	-	25997359	25997416	26000014	26000182	25982343	25982477	26021839	26022042	480	2	2	8,2	2,0	317	206	0.0315371025713	0.14740466451670714	0.394	0.722,1.0	-0.467
533	"ENSG00000166035"	"LIPC"	chr15	+	58538332	58538517	58541784	58541967	58431990	58432120	58542533	58542651	533	4	1	0,4	2,0	334	332	0.934308812776	1.0	0.799	0.0,1.0	0.299
606	"ENSG00000100577"	"GSTZ1"	chr14	+	77327471	77327552	77327911	77328037	77326837	77326905	77329122	77329201	606	0	1	2,0	0,0	230	275	1	1.0	0.0	1.0,NA	-1.0
711	"ENSG00000112679"	"DUSP22"	chr6	+	311879	311914	335113	335163	304627	304661	345853	345928	711	0	2	2,0	0,0	184	199	1	1.0	0.0	1.0,NA	-1.0
712	"ENSG00000112679"	"DUSP22"	chr6	+	311879	311962	335113	335163	304627	304661	345853	345928	712	0	2	2,0	0,0	232	199	1	1.0	0.0	1.0,NA	-1.0
719	"ENSG00000166278"	"C2"	chr6	+	31933866	31933965	31935922	31936061	31933609	31933783	31937318	31937459	719	6	0	2,0	4,4	248	288	2.42073078938e-06	3.201111502611e-05	1.0	0.367,0.0	0.817
788	"ENSG00000153071"	"DAB2"	chr5	-	39382617	39383271	39388304	39388367	39381453	39381616	39388798	39388852	788	0	2	2,2	4,4	212	803	0.000649110332663	0.0036999288961791	0.0	0.654,0.654	-0.654
806	"ENSG00000113648"	"MACROH2A1"	chr5	-	135350822	135350913	135352945	135353045	135345967	135346057	135360496	135360607	806	2	0	0,2	2,0	249	240	0.108483922326	0.3091791786291	1.0	0.0,1.0	0.5
872	"ENSG00000003989"	"SLC7A2"	chr8	+	17554559	17554699	17554945	17555082	17551763	17551986	17558294	17558397	872	0	4	0,2	0,2	289	286	1	1.0	0.0	NA,0.497	-0.497
901	"ENSG00000038427"	"VCAN"	chr5	+	83519348	83522309	83537006	83542268	83512102	83512396	83545536	83545650	901	0	4	4,2	26,66	3110	5411	0.034035673803	0.14740466451670714	0.0	0.211,0.05	-0.131
