ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	11	19	30,0,2,5	39,9,14,12	372	149	0.424482600586	0.9726443768206566	0.188	0.236,0.0,0.054,0.143	0.08
9	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	9	0	19	1,0,0,0	18,2,0,0	1432	149	1	1.0	0.0	0.006,0.0,NA,NA	-0.003
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	13	0	78,294,185,134	3,5,0,2	620	149	0.115963509016	0.4217465519458786	1.0	0.862,0.934,1.0,0.942	0.065
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	0	7	5,0,0,0	24,2,2,0	817	149	1	1.0	0.0	0.037,0.0,0.0,NA	-0.012
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	15	2	0	11,0,0,0	20,4,2,2	1730	149	0.0036367930021	0.033990924988185595	1.0	0.045,0.0,0.0,0.0	0.989
16	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	16	19	236	8,3,15,28	55,106,147,91	469	149	0.104813745001	0.3938730568902444	0.025	0.044,0.009,0.031,0.089	-0.018
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	5	0	27,2,4,17	0,1,0,0	273	149	1	1.0	1.0	1.0,0.522,1.0,1.0	0.119
19	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574124	32573283	32573368	32574095	32574124	19	2	2	2,0,0,0	0,0,0,0	876	149	1	1.0	0.145	1.0,NA,NA,NA	-0.855
21	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574676	32573283	32574124	32574575	32574676	21	6	2	1,0,0,0	0,0,0,0	600	149	1	1.0	0.427	1.0,NA,NA,NA	-0.573
23	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	23	17	583	10,1,9,17	346,282,248,216	262	149	0.791013079213	1.0	0.016	0.016,0.002,0.02,0.043	-0.004
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	690	86	53,138,129,65	26,18,4,5	1121	149	0.936309438972	1.0	0.516	0.213,0.505,0.811,0.633	-0.024
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	148	62	13,43,33,9	25,9,0,0	363	149	0.0754479653799	0.31408039240782326	0.495	0.176,0.662,1.0,1.0	-0.215
36	"ENSG00000275464"	"FP565260.1"	chr21	-	5135934	5137474	5135934	5136043	5137326	5137474	36	1	18	0,0,0,0	4,9,0,7	1432	149	1	1.0	0.006	0.0,0.0,NA,0.0	0.006
56	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584280	41584372	56	5	0	11,2,0,0	14,0,0,0	371	149	1	1.0	1.0	0.24,1.0,NA,NA	0.38
57	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	57	8	2	24,1,1,2	21,2,0,0	2365	149	0.153387198834	0.5044218572819149	0.201	0.067,0.031,1.0,1.0	-0.323
62	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	62	14	4	39,2,4,4	43,2,0,0	723	149	0.983522991543	1.0	0.419	0.157,0.171,1.0,1.0	-0.163
64	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	64	7377	267	4229,1541,3079,4213	210,152,52,47	4089	149	0.671779300947	1.0	0.502	0.423,0.27,0.683,0.766	-0.034
68	"ENSG00000100124"	"ANKRD54"	chr22	-	37832957	37833206	37832957	37833082	37833158	37833206	68	1	0	0,0,0,0	9,0,0,0	225	149	1	1.0	1.0	0.0,NA,NA,NA	1.0
70	"ENSG00000100055"	"CYTH4"	chr22	+	37311455	37312174	37311455	37311527	37312019	37312174	70	0	4	2,0,1,0	2,0,0,3	641	149	1	1.0	0.0	0.189,NA,1.0,0.0	-0.396
71	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094	71	0	3	7,0,2,0	1,1,0,0	394	149	1	1.0	0.0	0.726,0.0,1.0,NA	-0.575
75	"ENSG00000198089"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31606327	31606430	75	11	0	17,2,0,1	4,0,0,0	1531	149	1	1.0	1.0	0.293,1.0,NA,1.0	0.236
