ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
8	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	8	92	32	14,23,63,24	3,3,2,3	203	222	2.66283698537e-05	0.0017769998815702465	0.759	0.836,0.893,0.972,0.897	-0.14
9	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170	9	2	11	4,0,0,0	10,9,3,6	298	295	0.170702560073	0.5905418451436822	0.153	0.284,0.0,0.0,0.0	0.082
10	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170	10	4	11	4,0,0,0	10,9,3,6	271	295	0.0102941604641	0.1050743479877462	0.284	0.303,0.0,0.0,0.0	0.208
11	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204	11	3	2	10,4,6,2	7,3,6,4	187	238	0.651054564164	1.0	0.656	0.645,0.629,0.56,0.389	0.1
12	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32587312	32587477	32582199	32582415	32603160	32603292	12	0	4	0,1,0,0	0,0,0,0	298	294	1	1.0	0.0	NA,1.0,NA,NA	-1.0
13	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292	13	42	4	24,26,7,16	0,0,0,0	245	294	0.0210741417103	0.16384633671464313	0.926	1.0,1.0,1.0,1.0	-0.074
14	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32587312	32587477	32602271	32602367	32582199	32582415	32603160	32603292	14	42	0	24,26,7,16	0,1,0,0	245	298	1	1.0	1.0	1.0,0.969,1.0,1.0	0.008
20	"ENSG00000215386"	"MIR99AHG"	chr21	+	16231055	16231115	16391613	16391685	16181590	16181687	16487489	16488346	20	22	53	0,0,1,0	2,12,11,11	209	221	5.40832134632e-09	2.1654918670665278e-06	0.305	0.0,0.0,0.088,0.0	0.283
21	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16352128	16352273	16231055	16231115	16391613	16391685	21	3	2	0,0,1,0	0,0,0,6	211	294	1	1.0	0.676	NA,NA,1.0,0.0	0.176
22	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16383159	16383304	16231055	16231115	16391613	16391685	22	3	5	0,0,1,0	3,0,0,0	211	294	1	1.0	0.455	0.0,NA,1.0,NA	-0.045
23	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16383159	16383304	16231055	16231115	16487489	16487538	23	2	3	0,0,1,0	0,0,0,0	211	294	1	1.0	0.482	NA,NA,1.0,NA	-0.518
24	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16391613	16391685	16231055	16231115	16487489	16487538	24	2	118	0,0,1,0	6,19,25,34	211	221	0.681013610367	1.0	0.017	0.0,0.0,0.04,0.0	0.007
25	"ENSG00000215386"	"MIR99AHG"	chr21	+	16352128	16352273	16383159	16383304	16231055	16231115	16391613	16391685	25	2	5	0,0,0,6	3,0,0,0	294	294	1	1.0	0.286	0.0,NA,NA,1.0	-0.214
26	"ENSG00000215386"	"MIR99AHG"	chr21	+	16383159	16383304	16391613	16391685	16231055	16231115	16487489	16487538	26	3	118	0,0,0,0	6,19,25,34	294	221	0.699009150701	1.0	0.019	0.0,0.0,0.0,0.0	0.019
