ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
87	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
90	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
96	"ENSG00000244625"	"MIATNB"	chr22	+	26726643	26726794	26726643	26726720	26738061	26738240
103	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23683724	23683867
113	"ENSG00000232855"	"AF165147.1"	chr21	-	28577218	28577380	28577274	28577380	28446289	28446472
120	"ENSG00000099326"	"MZF1"	chr19	-	58570343	58571429	58570993	58571429	58569515	58569586
122	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58231771	58231820
144	"ENSG00000167613"	"LAIR1"	chr19	-	54360915	54361209	54361009	54361209	54356927	54356966
199	"ENSG00000159917"	"ZNF235"	chr19	-	44298807	44298903	44298819	44298903	44234754	44234869
219	"ENSG00000268027"	"AC243960.1"	chr19	+	41551179	41551494	41551179	41551302	41553705	41553746
226	"ENSG00000269858"	"EGLN2"	chr19	+	40807137	40807551	40807137	40807274	40807808	40808432
254	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547029	35546671	35546808	35547118	35547240
279	"ENSG00000187187"	"ZNF546"	chr19	+	39999600	39999854	39999600	39999670	40006095	40006182
309	"ENSG00000131355"	"ADGRE3"	chr19	-	14658479	14658550	14658512	14658550	14651084	14651204
366	"ENSG00000099817"	"POLR2E"	chr19	-	1093903	1095375	1095258	1095375	1090907	1090988
400	"ENSG00000244687"	"UBE2V1"	chr20	-	50115484	50115954	50115698	50115954	50084128	50084254
413	"ENSG00000101052"	"IFT52"	chr20	+	43605001	43605216	43605001	43605073	43613849	43613976
488	"ENSG00000089063"	"TMEM230"	chr20	-	5112729	5113042	5112742	5113042	5111499	5111605
494	"ENSG00000101365"	"IDH3B"	chr20	-	2660456	2660829	2660696	2660829	2660262	2660365
503	"ENSG00000166347"	"CYB5A"	chr18	-	74255740	74260944	74260914	74260944	74253296	74253665
537	"ENSG00000267374"	"MIR924HG"	chr18	-	39784074	39784242	39784099	39784242	39751328	39751360
539	"ENSG00000101019"	"UQCC1"	chr20	-	35381917	35382025	35381983	35382025	35374183	35374256
541	"ENSG00000141447"	"OSBPL1A"	chr18	-	24368286	24368372	24368366	24368372	24341546	24341658
569	"ENSG00000154889"	"MPPE1"	chr18	-	11905737	11905953	11905911	11905953	11897525	11897620
586	"ENSG00000266835"	"GAPLINC"	chr18	+	3467126	3467296	3467126	3467270	3472842	3473203
670	"ENSG00000256525"	"POLG2"	chr17	-	64483963	64485868	64485727	64485868	64480288	64480389
671	"ENSG00000256525"	"POLG2"	chr17	-	64483963	64485868	64485727	64485868	64482918	64482999
