ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
23	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820
24	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842
70	"ENSG00000100242"	"SUN2"	chr22	-	38739341	38739426	38739341	38739423	38739721	38739943
72	"ENSG00000100242"	"SUN2"	chr22	-	38754641	38754706	38754641	38754690	38755762	38756000
73	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930
119	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24607953	24608023
196	"ENSG00000063241"	"ISOC2"	chr19	-	55455259	55455378	55455259	55455330	55456348	55456489
228	"ENSG00000213793"	"ZNF888"	chr19	-	52917858	52917997	52917858	52917931	52918818	52918937
261	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49490231	49490297	49487607	49487644
277	"ENSG00000197813"	"AC011450.1"	chr19	-	49332053	49332320	49332053	49332296	49340230	49340282
344	"ENSG00000188493"	"C19orf54"	chr19	-	40740861	40741065	40740861	40741008	40741365	40741680
349	"ENSG00000105193"	"RPS16"	chr19	-	39435606	39435708	39435606	39435705	39435847	39435949
364	"ENSG00000189144"	"ZNF573"	chr19	-	37771563	37771696	37771563	37771690	37772937	37772982
394	"ENSG00000161265"	"U2AF1L4"	chr19	-	35742531	35743205	35742531	35742803	35743808	35743904
395	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743205	35743808	35743904
409	"ENSG00000153885"	"KCTD15"	chr19	+	33798667	33798766	33798670	33798766	33798336	33798390
451	"ENSG00000221983"	"UBA52"	chr19	+	18574869	18575241	18575056	18575241	18573661	18573748
526	"ENSG00000105397"	"TYK2"	chr19	-	10368294	10368418	10368294	10368371	10378213	10378508
535	"ENSG00000188321"	"ZNF559"	chr19	+	9337714	9338017	9337795	9338017	9333014	9333113
543	"ENSG00000090661"	"CERS4"	chr19	+	8251043	8251249	8251075	8251249	8241340	8241457
644	"ENSG00000129946"	"SHC2"	chr19	-	422145	422456	422145	422379	430683	430747
664	"ENSG00000101181"	"MTG2"	chr20	+	62200682	62203568	62203083	62203568	62199118	62199257
756	"ENSG00000078699"	"CBFA2T2"	chr20	+	33640340	33640531	33640343	33640531	33636639	33636708
762	"ENSG00000105576"	"TNPO2"	chr19	-	12723248	12723365	12723248	12723360	12723772	12723932
773	"ENSG00000101294"	"HM13"	chr20	+	31548964	31549114	31549028	31549114	31547447	31547692
821	"ENSG00000089057"	"SLC23A2"	chr20	-	4970792	4970919	4970792	4970915	5001405	5001510
836	"ENSG00000088833"	"NSFL1C"	chr20	-	1454966	1455132	1454966	1455037	1455713	1457090
845	"ENSG00000133313"	"CNDP2"	chr18	+	74499881	74500033	74499936	74500033	74499420	74499482
926	"ENSG00000101639"	"CEP192"	chr18	+	13038369	13038579	13038514	13038579	13037236	13037301
927	"ENSG00000101639"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698
929	"ENSG00000101639"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13114129	13114251
945	"ENSG00000263724"	"DLGAP1-AS3"	chr18	+	3895770	3896003	3895826	3896003	3890017	3890932
969	"ENSG00000185624"	"P4HB"	chr17	-	81846946	81847072	81846946	81847068	81855141	81855279
1033	"ENSG00000184640"	"SEPTIN9"	chr17	+	77402058	77402703	77402336	77402703	77319601	77319803
1080	"ENSG00000256525"	"POLG2"	chr17	-	64482918	64482999	64482918	64482974	64483389	64483506
1085	"ENSG00000108622"	"ICAM2"	chr17	-	64006630	64006735	64006630	64006671	64020405	64020634
1096	"ENSG00000062716"	"VMP1"	chr17	+	59838294	59838397	59838311	59838397	59837854	59838212
1118	"ENSG00000108848"	"LUC7L3"	chr17	+	50738136	50738199	50738140	50738199	50736959	50737026
1208	"ENSG00000278540"	"ACACA"	chr17	-	37330172	37330425	37330172	37330335	37339803	37339850
1211	"ENSG00000276070"	"CCL4L2"	chr17	+	36211775	36212878	36212481	36212878	36211062	36211217
1213	"ENSG00000276070"	"CCL4L2"	chr17	+	36212292	36212878	36212481	36212878	36211062	36211217
1215	"ENSG00000276070"	"CCL4L2"	chr17	+	36212481	36212878	36212496	36212878	36211062	36211217
1244	"ENSG00000172171"	"TEFM"	chr17	-	30898985	30900562	30898985	30899606	30904065	30904529
1248	"ENSG00000108582"	"CPD"	chr17	+	30451710	30451846	30451756	30451846	30450235	30450294
1310	"ENSG00000236088"	"COX10-AS1"	chr17	-	13892724	13892842	13892724	13892839	13898608	13898732
1313	"ENSG00000263400"	"TMEM220-AS1"	chr17	+	10736601	10736638	10736604	10736638	10729809	10729876
1327	"ENSG00000178999"	"AURKB"	chr17	-	8206749	8206934	8206749	8206888	8207317	8207367
1393	"ENSG00000083454"	"P2RX5"	chr17	-	3688625	3688759	3688625	3688676	3689491	3689630
1448	"ENSG00000167522"	"ANKRD11"	chr16	-	89316932	89317078	89316932	89317075	89361494	89361677
1493	"ENSG00000182149"	"IST1"	chr16	+	71924768	71924817	71924772	71924817	71922473	71922680
1554	"ENSG00000140939"	"NOL3"	chr16	+	67173861	67174046	67174007	67174046	67171151	67171457
